Weather_id,date,city,province,temperature_c
,2010-01-01,Toronto,Ontario,-27.7
,2010-01-01,Vancouver,British Columbia,-6.6
,2010-01-01,Montreal,Quebec,-16.8
,2010-01-01,Calgary,Alberta,-8.3
,2010-01-01,Edmonton,Alberta,-0.7
,2010-01-01,Ottawa,Ontario,-13.8
,2010-01-01,Winnipeg,Manitoba,-15
,2010-01-01,Hamilton,Ontario,-27.8
,2010-01-01,Kitchener,Ontario,-21.9
,2010-01-01,Waterloo,Ontario,-15
,2010-01-02,Toronto,Ontario,-9.6
,2010-01-02,Vancouver,British Columbia,-5.9
,2010-01-02,Montreal,Quebec,-18.6
,2010-01-02,Calgary,Alberta,-28
,2010-01-02,Edmonton,Alberta,-21.4
,2010-01-02,Ottawa,Ontario,-2.7
,2010-01-02,Winnipeg,Manitoba,-23.6
,2010-01-02,Hamilton,Ontario,-16.4
,2010-01-02,Kitchener,Ontario,-2.1
,2010-01-02,Waterloo,Ontario,-29.3
,2010-01-03,Toronto,Ontario,-12
,2010-01-03,Vancouver,British Columbia,-1.5
,2010-01-03,Montreal,Quebec,-23.1
,2010-01-03,Calgary,Alberta,-13.5
,2010-01-03,Edmonton,Alberta,-2.7
,2010-01-03,Ottawa,Ontario,-26
,2010-01-03,Winnipeg,Manitoba,-14.3
,2010-01-03,Hamilton,Ontario,-7.5
,2010-01-03,Kitchener,Ontario,-9.9
,2010-01-03,Waterloo,Ontario,-16
,2010-01-04,Toronto,Ontario,-23.9
,2010-01-04,Vancouver,British Columbia,-15.3
,2010-01-04,Montreal,Quebec,-18.8
,2010-01-04,Calgary,Alberta,-15.7
,2010-01-04,Edmonton,Alberta,-19
,2010-01-04,Ottawa,Ontario,-4.9
,2010-01-04,Winnipeg,Manitoba,-6.9
,2010-01-04,Hamilton,Ontario,-20.6
,2010-01-04,Kitchener,Ontario,-12.8
,2010-01-04,Waterloo,Ontario,-21.7
,2010-01-05,Toronto,Ontario,-16.4
,2010-01-05,Vancouver,British Columbia,-19.4
,2010-01-05,Montreal,Quebec,-10.3
,2010-01-05,Calgary,Alberta,-18.9
,2010-01-05,Edmonton,Alberta,-16.2
,2010-01-05,Ottawa,Ontario,-8.4
,2010-01-05,Winnipeg,Manitoba,-17.6
,2010-01-05,Hamilton,Ontario,-2.8
,2010-01-05,Kitchener,Ontario,-24.6
,2010-01-05,Waterloo,Ontario,-7.8
,2010-01-06,Toronto,Ontario,-17.3
,2010-01-06,Vancouver,British Columbia,-17.2
,2010-01-06,Montreal,Quebec,-11
,2010-01-06,Calgary,Alberta,-14.3
,2010-01-06,Edmonton,Alberta,-17.6
,2010-01-06,Ottawa,Ontario,-30
,2010-01-06,Winnipeg,Manitoba,-27.2
,2010-01-06,Hamilton,Ontario,-8.7
,2010-01-06,Kitchener,Ontario,-14.3
,2010-01-06,Waterloo,Ontario,-9.1
,2010-01-07,Toronto,Ontario,-1.3
,2010-01-07,Vancouver,British Columbia,-9.5
,2010-01-07,Montreal,Quebec,-28.4
,2010-01-07,Calgary,Alberta,-20.7
,2010-01-07,Edmonton,Alberta,-12.2
,2010-01-07,Ottawa,Ontario,-22.9
,2010-01-07,Winnipeg,Manitoba,-1.1
,2010-01-07,Hamilton,Ontario,-1.6
,2010-01-07,Kitchener,Ontario,-4.5
,2010-01-07,Waterloo,Ontario,-15.8
,2010-01-08,Toronto,Ontario,-4.8
,2010-01-08,Vancouver,British Columbia,-26.1
,2010-01-08,Montreal,Quebec,-20.7
,2010-01-08,Calgary,Alberta,-16.1
,2010-01-08,Edmonton,Alberta,-7.7
,2010-01-08,Ottawa,Ontario,-15.4
,2010-01-08,Winnipeg,Manitoba,-25.9
,2010-01-08,Hamilton,Ontario,-19.7
,2010-01-08,Kitchener,Ontario,-20.3
,2010-01-08,Waterloo,Ontario,-21
,2010-01-09,Toronto,Ontario,-25
,2010-01-09,Vancouver,British Columbia,-17.6
,2010-01-09,Montreal,Quebec,-16.6
,2010-01-09,Calgary,Alberta,-6.8
,2010-01-09,Edmonton,Alberta,-6.1
,2010-01-09,Ottawa,Ontario,-14.3
,2010-01-09,Winnipeg,Manitoba,-16.2
,2010-01-09,Hamilton,Ontario,-6.7
,2010-01-09,Kitchener,Ontario,-3.4
,2010-01-09,Waterloo,Ontario,-9.8
,2010-01-10,Toronto,Ontario,-6
,2010-01-10,Vancouver,British Columbia,-1.8
,2010-01-10,Montreal,Quebec,-28.8
,2010-01-10,Calgary,Alberta,-3.7
,2010-01-10,Edmonton,Alberta,-21.7
,2010-01-10,Ottawa,Ontario,-15.7
,2010-01-10,Winnipeg,Manitoba,-6.1
,2010-01-10,Hamilton,Ontario,-8.5
,2010-01-10,Kitchener,Ontario,-25.6
,2010-01-10,Waterloo,Ontario,-10.2
,2010-01-11,Toronto,Ontario,-27.9
,2010-01-11,Vancouver,British Columbia,-19.3
,2010-01-11,Montreal,Quebec,-5.6
,2010-01-11,Calgary,Alberta,-17.2
,2010-01-11,Edmonton,Alberta,-12
,2010-01-11,Ottawa,Ontario,-8.2
,2010-01-11,Winnipeg,Manitoba,-5.4
,2010-01-11,Hamilton,Ontario,-7.2
,2010-01-11,Kitchener,Ontario,-29.8
,2010-01-11,Waterloo,Ontario,-17.4
,2010-01-12,Toronto,Ontario,-16.1
,2010-01-12,Vancouver,British Columbia,-28.3
,2010-01-12,Montreal,Quebec,-13.8
,2010-01-12,Calgary,Alberta,-11.8
,2010-01-12,Edmonton,Alberta,-5.1
,2010-01-12,Ottawa,Ontario,-1.7
,2010-01-12,Winnipeg,Manitoba,-26.2
,2010-01-12,Hamilton,Ontario,-23.1
,2010-01-12,Kitchener,Ontario,-10.2
,2010-01-12,Waterloo,Ontario,-26
,2010-01-13,Toronto,Ontario,-23.3
,2010-01-13,Vancouver,British Columbia,-12.8
,2010-01-13,Montreal,Quebec,-24.9
,2010-01-13,Calgary,Alberta,-6.5
,2010-01-13,Edmonton,Alberta,-4.3
,2010-01-13,Ottawa,Ontario,-29
,2010-01-13,Winnipeg,Manitoba,-14
,2010-01-13,Hamilton,Ontario,-6.1
,2010-01-13,Kitchener,Ontario,-0.7
,2010-01-13,Waterloo,Ontario,-21.8
,2010-01-14,Toronto,Ontario,-24.9
,2010-01-14,Vancouver,British Columbia,-3.7
,2010-01-14,Montreal,Quebec,-2.7
