Weather_id,date,city,province,temperature_c
,01-01-2023,Toronto,Ontario,-15.6
,01-01-2023,Vancouver,British Columbia,-1.2
,01-01-2023,Montreal,Quebec,-6.7
,01-01-2023,Calgary,Alberta,-10
,01-01-2023,Edmonton,Alberta,-21.1
,01-01-2023,Ottawa,Ontario,-21.1
,01-01-2023,Winnipeg,Manitoba,-23.5
,01-01-2023,Hamilton,Ontario,-3.3
,01-01-2023,Kitchener,Ontario,-10
,01-01-2023,Waterloo,Ontario,-7.3
,02-01-2023,Toronto,Ontario,-24.5
,02-01-2023,Vancouver,British Columbia,-0.8
,02-01-2023,Montreal,Quebec,-4.2
,02-01-2023,Calgary,Alberta,-19.7
,02-01-2023,Edmonton,Alberta,-20.5
,02-01-2023,Ottawa,Ontario,-20.4
,02-01-2023,Winnipeg,Manitoba,-17.4
,02-01-2023,Hamilton,Ontario,-11.9
,02-01-2023,Kitchener,Ontario,-14.2
,02-01-2023,Waterloo,Ontario,-17.7
,03-01-2023,Toronto,Ontario,-9.7
,03-01-2023,Vancouver,British Columbia,-21.5
,03-01-2023,Montreal,Quebec,-17.7
,03-01-2023,Calgary,Alberta,-15.8
,03-01-2023,Edmonton,Alberta,-13.6
,03-01-2023,Ottawa,Ontario,-5.4
,03-01-2023,Winnipeg,Manitoba,-20
,03-01-2023,Hamilton,Ontario,-12.1
,03-01-2023,Kitchener,Ontario,-10.2
,03-01-2023,Waterloo,Ontario,-23.8
,04-01-2023,Toronto,Ontario,-9.8
,04-01-2023,Vancouver,British Columbia,-20.7
,04-01-2023,Montreal,Quebec,-23.4
,04-01-2023,Calgary,Alberta,-1.3
,04-01-2023,Edmonton,Alberta,-0.9
,04-01-2023,Ottawa,Ontario,-4.8
,04-01-2023,Winnipeg,Manitoba,-17.4
,04-01-2023,Hamilton,Ontario,-22.6
,04-01-2023,Kitchener,Ontario,-7.9
,04-01-2023,Waterloo,Ontario,-14
,05-01-2023,Toronto,Ontario,-21.9
,05-01-2023,Vancouver,British Columbia,-12.6
,05-01-2023,Montreal,Quebec,-24.1
,05-01-2023,Calgary,Alberta,-2.3
,05-01-2023,Edmonton,Alberta,-18.5
,05-01-2023,Ottawa,Ontario,-8.4
,05-01-2023,Winnipeg,Manitoba,-17.2
,05-01-2023,Hamilton,Ontario,-12
,05-01-2023,Kitchener,Ontario,-11.3
,05-01-2023,Waterloo,Ontario,-20.4
,06-01-2023,Toronto,Ontario,-0.8
,06-01-2023,Vancouver,British Columbia,-5.6
,06-01-2023,Montreal,Quebec,-1.5
,06-01-2023,Calgary,Alberta,-2.6
,06-01-2023,Edmonton,Alberta,-10.1
,06-01-2023,Ottawa,Ontario,-2
,06-01-2023,Winnipeg,Manitoba,-22.8
,06-01-2023,Hamilton,Ontario,-20.1
,06-01-2023,Kitchener,Ontario,-23.9
,06-01-2023,Waterloo,Ontario,-16.9
,07-01-2023,Toronto,Ontario,-15.3
,07-01-2023,Vancouver,British Columbia,-18.2
,07-01-2023,Montreal,Quebec,-4.3
,07-01-2023,Calgary,Alberta,-16.1
,07-01-2023,Edmonton,Alberta,-18
,07-01-2023,Ottawa,Ontario,-11.4
,07-01-2023,Winnipeg,Manitoba,-21.5
,07-01-2023,Hamilton,Ontario,-4.9
,07-01-2023,Kitchener,Ontario,-23.1
,07-01-2023,Waterloo,Ontario,-0.3
,08-01-2023,Toronto,Ontario,-5.7
,08-01-2023,Vancouver,British Columbia,-20
,08-01-2023,Montreal,Quebec,-24.9
,08-01-2023,Calgary,Alberta,-4.6
,08-01-2023,Edmonton,Alberta,-7.3
,08-01-2023,Ottawa,Ontario,-6.8
,08-01-2023,Winnipeg,Manitoba,-5.7
,08-01-2023,Hamilton,Ontario,-23.1
,08-01-2023,Kitchener,Ontario,-16
,08-01-2023,Waterloo,Ontario,-22.1
,09-01-2023,Toronto,Ontario,-3.4
,09-01-2023,Vancouver,British Columbia,-9.4
,09-01-2023,Montreal,Quebec,-16.7
,09-01-2023,Calgary,Alberta,-23.4
,09-01-2023,Edmonton,Alberta,-17.2
,09-01-2023,Ottawa,Ontario,-16.9
,09-01-2023,Winnipeg,Manitoba,-6.8
,09-01-2023,Hamilton,Ontario,-9.1
,09-01-2023,Kitchener,Ontario,-2.8
,09-01-2023,Waterloo,Ontario,-13.2
,10-01-2023,Toronto,Ontario,-22
,10-01-2023,Vancouver,British Columbia,-7.2
,10-01-2023,Montreal,Quebec,-6
,10-01-2023,Calgary,Alberta,-11
,10-01-2023,Edmonton,Alberta,-5.7
,10-01-2023,Ottawa,Ontario,-12.7
,10-01-2023,Winnipeg,Manitoba,-11.9
,10-01-2023,Hamilton,Ontario,-14.3
,10-01-2023,Kitchener,Ontario,-24.4
,10-01-2023,Waterloo,Ontario,-22.3
,11-01-2023,Toronto,Ontario,-24.2
,11-01-2023,Vancouver,British Columbia,-9.1
,11-01-2023,Montreal,Quebec,-17.1
,11-01-2023,Calgary,Alberta,-12.3
,11-01-2023,Edmonton,Alberta,-2.3
,11-01-2023,Ottawa,Ontario,-18.8
,11-01-2023,Winnipeg,Manitoba,-14.7
,11-01-2023,Hamilton,Ontario,-6.1
,11-01-2023,Kitchener,Ontario,-19.3
,11-01-2023,Waterloo,Ontario,-23.1
,12-01-2023,Toronto,Ontario,-17.8
,12-01-2023,Vancouver,British Columbia,-21
,12-01-2023,Montreal,Quebec,-1.8
,12-01-2023,Calgary,Alberta,-4.8
,12-01-2023,Edmonton,Alberta,-9.2
,12-01-2023,Ottawa,Ontario,-3.2
,12-01-2023,Winnipeg,Manitoba,-4.9
,12-01-2023,Hamilton,Ontario,-20.3
,12-01-2023,Kitchener,Ontario,-2.7
,12-01-2023,Waterloo,Ontario,-11.5
,13-01-2023,Toronto,Ontario,-4.8
,13-01-2023,Vancouver,British Columbia,-2.6
,13-01-2023,Montreal,Quebec,-17
,13-01-2023,Calgary,Alberta,-22.2
,13-01-2023,Edmonton,Alberta,-19.3
,13-01-2023,Ottawa,Ontario,-14.3
,13-01-2023,Winnipeg,Manitoba,-4.5
,13-01-2023,Hamilton,Ontario,-3.5
,13-01-2023,Kitchener,Ontario,-24.8
,13-01-2023,Waterloo,Ontario,-12.2
,14-01-2023,Toronto,Ontario,-14.6
,14-01-2023,Vancouver,British Columbia,-19.4
,14-01-2023,Montreal,Quebec,-22
,14-01-2023,Calgary,Alberta,-16.6
,14-01-2023,Edmonton,Alberta,-1.4
,14-01-2023,Ottawa,Ontario,-16.9
,14-01-2023,Winnipeg,Manitoba,-12
,14-01-2023,Hamilton,Ontario,-7.4
,14-01-2023,Kitchener,Ontario,-15.9
,14-01-2023,Waterloo,Ontario,-0.7
,15-01-2023,Toronto,Ontario,-0.9
,15-01-2023,Vancouver,British Columbia,-18.7
,15-01-2023,Montreal,Quebec,-12.6
,15-01-2023,Calgary,Alberta,-17.5
,15-01-2023,Edmonton,Alberta,-17.9
,15-01-2023,Ottawa,Ontario,-24.1
,15-01-2023,Winnipeg,Manitoba,-9.8
,15-01-2023,Hamilton,Ontario,-12.4
,15-01-2023,Kitchener,Ontario,-23.7
,15-01-2023,Waterloo,Ontario,-18
,16-01-2023,Toronto,Ontario,-2.3
,16-01-2023,Vancouver,British Columbia,-19
,16-01-2023,Montreal,Quebec,-21.4
,16-01-2023,Calgary,Alberta,-12.8
,16-01-2023,Edmonton,Alberta,-0.4
,16-01-2023,Ottawa,Ontario,-18.9
