Weather_id,date,city,state,temperature_c
,2019-01-01,New York,New York,-7.60
,2019-01-01,Los Angeles,California,9.00
,2019-01-01,Chicago,Illinois,-3.80
,2019-01-01,Houston,Texas,-6.50
,2019-01-01,Phoenix,Arizona,-1.70
,2019-01-01,Philadelphia,Pennsylvania,-7.90
,2019-01-01,San Antonio,Texas,6.80
,2019-01-01,San Diego,California,10.20
,2019-01-01,Dallas,Texas,14.60
,2019-01-01,San Jose,California,5.90
,2019-01-02,New York,New York,-4.60
,2019-01-02,Los Angeles,California,3.70
,2019-01-02,Chicago,Illinois,3.60
,2019-01-02,Houston,Texas,-4.10
,2019-01-02,Phoenix,Arizona,-7.20
,2019-01-02,Philadelphia,Pennsylvania,2.50
,2019-01-02,San Antonio,Texas,-6.20
,2019-01-02,San Diego,California,3.30
,2019-01-02,Dallas,Texas,-0.30
,2019-01-02,San Jose,California,7.20
,2019-01-03,New York,New York,-0.70
,2019-01-03,Los Angeles,California,13.70
,2019-01-03,Chicago,Illinois,9.40
,2019-01-03,Houston,Texas,5.20
,2019-01-03,Phoenix,Arizona,5.40
,2019-01-03,Philadelphia,Pennsylvania,6.10
,2019-01-03,San Antonio,Texas,-3.30
,2019-01-03,San Diego,California,8.80
,2019-01-03,Dallas,Texas,-2.80
,2019-01-03,San Jose,California,7.70
,2019-01-04,New York,New York,-8.40
,2019-01-04,Los Angeles,California,7.20
,2019-01-04,Chicago,Illinois,3.80
,2019-01-04,Houston,Texas,3.80
,2019-01-04,Phoenix,Arizona,-1.30
,2019-01-04,Philadelphia,Pennsylvania,-5.70
,2019-01-04,San Antonio,Texas,3.50
,2019-01-04,San Diego,California,-8.70
,2019-01-04,Dallas,Texas,10.60
,2019-01-04,San Jose,California,7.80
,2019-01-05,New York,New York,-8.90
,2019-01-05,Los Angeles,California,-8.10
,2019-01-05,Chicago,Illinois,-9.70
,2019-01-05,Houston,Texas,14.90
,2019-01-05,Phoenix,Arizona,5.00
,2019-01-05,Philadelphia,Pennsylvania,-5.50
,2019-01-05,San Antonio,Texas,-0.90
,2019-01-05,San Diego,California,11.60
,2019-01-05,Dallas,Texas,1.30
,2019-01-05,San Jose,California,14.30
,2019-01-06,New York,New York,-6.60
,2019-01-06,Los Angeles,California,7.90
,2019-01-06,Chicago,Illinois,13.00
,2019-01-06,Houston,Texas,13.40
,2019-01-06,Phoenix,Arizona,13.40
,2019-01-06,Philadelphia,Pennsylvania,6.80
,2019-01-06,San Antonio,Texas,13.50
,2019-01-06,San Diego,California,3.10
,2019-01-06,Dallas,Texas,1.20
,2019-01-06,San Jose,California,-9.20
,2019-01-07,New York,New York,11.50
,2019-01-07,Los Angeles,California,-5.40
,2019-01-07,Chicago,Illinois,8.20
,2019-01-07,Houston,Texas,14.20
,2019-01-07,Phoenix,Arizona,12.50
,2019-01-07,Philadelphia,Pennsylvania,10.90
,2019-01-07,San Antonio,Texas,4.80
,2019-01-07,San Diego,California,-1.00
,2019-01-07,Dallas,Texas,-5.90
,2019-01-07,San Jose,California,1.00
,2019-01-08,New York,New York,9.00
,2019-01-08,Los Angeles,California,1.10
,2019-01-08,Chicago,Illinois,-6.70
,2019-01-08,Houston,Texas,-5.40
,2019-01-08,Phoenix,Arizona,14.90
,2019-01-08,Philadelphia,Pennsylvania,-3.30
,2019-01-08,San Antonio,Texas,11.90
,2019-01-08,San Diego,California,-5.90
,2019-01-08,Dallas,Texas,13.70
,2019-01-08,San Jose,California,0.00
,2019-01-09,New York,New York,6.30
,2019-01-09,Los Angeles,California,7.80
,2019-01-09,Chicago,Illinois,0.00
,2019-01-09,Houston,Texas,12.80
,2019-01-09,Phoenix,Arizona,-8.70
,2019-01-09,Philadelphia,Pennsylvania,2.40
,2019-01-09,San Antonio,Texas,-3.80
,2019-01-09,San Diego,California,-1.30
,2019-01-09,Dallas,Texas,8.50
,2019-01-09,San Jose,California,-1.00
,2019-01-10,New York,New York,5.80
,2019-01-10,Los Angeles,California,14.40
,2019-01-10,Chicago,Illinois,0.60
,2019-01-10,Houston,Texas,-8.40
,2019-01-10,Phoenix,Arizona,-8.00
,2019-01-10,Philadelphia,Pennsylvania,-4.90
,2019-01-10,San Antonio,Texas,-2.80
,2019-01-10,San Diego,California,-0.50
,2019-01-10,Dallas,Texas,10.90
,2019-01-10,San Jose,California,-7.90
,2019-01-11,New York,New York,10.50
,2019-01-11,Los Angeles,California,10.40
,2019-01-11,Chicago,Illinois,-1.70
,2019-01-11,Houston,Texas,6.90
,2019-01-11,Phoenix,Arizona,14.60
,2019-01-11,Philadelphia,Pennsylvania,14.00
,2019-01-11,San Antonio,Texas,6.70
,2019-01-11,San Diego,California,12.30
