Weather_id,date,city,state,temperature_c
,2020-01-01,New York,New York,-8.80
,2020-01-01,Los Angeles,California,-2.80
,2020-01-01,Chicago,Illinois,8.00
,2020-01-01,Houston,Texas,-9.50
,2020-01-01,Phoenix,Arizona,-4.90
,2020-01-01,Philadelphia,Pennsylvania,-8.70
,2020-01-01,San Antonio,Texas,-2.40
,2020-01-01,San Diego,California,6.60
,2020-01-01,Dallas,Texas,-2.30
,2020-01-01,San Jose,California,4.60
,2020-01-02,New York,New York,-8.30
,2020-01-02,Los Angeles,California,11.70
,2020-01-02,Chicago,Illinois,-6.70
,2020-01-02,Houston,Texas,-5.50
,2020-01-02,Phoenix,Arizona,2.40
,2020-01-02,Philadelphia,Pennsylvania,11.60
,2020-01-02,San Antonio,Texas,9.00
,2020-01-02,San Diego,California,14.30
,2020-01-02,Dallas,Texas,9.00
,2020-01-02,San Jose,California,-0.40
,2020-01-03,New York,New York,0.20
,2020-01-03,Los Angeles,California,7.80
,2020-01-03,Chicago,Illinois,-3.20
,2020-01-03,Houston,Texas,11.40
,2020-01-03,Phoenix,Arizona,12.80
,2020-01-03,Philadelphia,Pennsylvania,9.00
,2020-01-03,San Antonio,Texas,2.90
,2020-01-03,San Diego,California,-5.80
,2020-01-03,Dallas,Texas,-2.50
,2020-01-03,San Jose,California,-2.90
,2020-01-04,New York,New York,-1.80
,2020-01-04,Los Angeles,California,1.50
,2020-01-04,Chicago,Illinois,3.60
,2020-01-04,Houston,Texas,-4.60
,2020-01-04,Phoenix,Arizona,10.00
,2020-01-04,Philadelphia,Pennsylvania,8.20
,2020-01-04,San Antonio,Texas,11.20
,2020-01-04,San Diego,California,-3.30
,2020-01-04,Dallas,Texas,5.40
,2020-01-04,San Jose,California,6.30
,2020-01-05,New York,New York,-0.30
,2020-01-05,Los Angeles,California,0.30
,2020-01-05,Chicago,Illinois,10.30
,2020-01-05,Houston,Texas,5.00
,2020-01-05,Phoenix,Arizona,12.50
,2020-01-05,Philadelphia,Pennsylvania,2.30
,2020-01-05,San Antonio,Texas,10.70
,2020-01-05,San Diego,California,11.50
,2020-01-05,Dallas,Texas,9.70
,2020-01-05,San Jose,California,12.20
,2020-01-06,New York,New York,7.50
,2020-01-06,Los Angeles,California,1.40
,2020-01-06,Chicago,Illinois,-2.40
,2020-01-06,Houston,Texas,10.50
,2020-01-06,Phoenix,Arizona,-6.50
,2020-01-06,Philadelphia,Pennsylvania,0.00
,2020-01-06,San Antonio,Texas,-4.20
,2020-01-06,San Diego,California,4.80
,2020-01-06,Dallas,Texas,12.20
,2020-01-06,San Jose,California,-1.80
,2020-01-07,New York,New York,10.10
,2020-01-07,Los Angeles,California,9.90
,2020-01-07,Chicago,Illinois,6.60
,2020-01-07,Houston,Texas,-3.90
,2020-01-07,Phoenix,Arizona,10.50
,2020-01-07,Philadelphia,Pennsylvania,1.70
,2020-01-07,San Antonio,Texas,8.50
,2020-01-07,San Diego,California,1.50
,2020-01-07,Dallas,Texas,11.60
,2020-01-07,San Jose,California,7.60
,2020-01-08,New York,New York,-5.80
,2020-01-08,Los Angeles,California,-5.50
,2020-01-08,Chicago,Illinois,11.20
,2020-01-08,Houston,Texas,-0.90
,2020-01-08,Phoenix,Arizona,-0.50
,2020-01-08,Philadelphia,Pennsylvania,-9.00
,2020-01-08,San Antonio,Texas,5.90
,2020-01-08,San Diego,California,10.10
,2020-01-08,Dallas,Texas,12.40
,2020-01-08,San Jose,California,-5.10
,2020-01-09,New York,New York,11.40
,2020-01-09,Los Angeles,California,-5.60
,2020-01-09,Chicago,Illinois,-0.70
,2020-01-09,Houston,Texas,-0.40
,2020-01-09,Phoenix,Arizona,4.30
,2020-01-09,Philadelphia,Pennsylvania,2.80
,2020-01-09,San Antonio,Texas,3.20
,2020-01-09,San Diego,California,3.10
,2020-01-09,Dallas,Texas,13.30
,2020-01-09,San Jose,California,-3.80
,2020-01-10,New York,New York,-4.80
,2020-01-10,Los Angeles,California,10.40
,2020-01-10,Chicago,Illinois,-2.40
,2020-01-10,Houston,Texas,6.90
